usuario_id,livro_id,data_emprestimo,data_devolucao,data_devolucao_real,status
1691,1470,2020-01-14,2024-09-12,2024-05-08,concluido
1192,1293,2022-03-22,2023-11-29,2024-02-24,atrasado
654,1896,2020-03-26,2024-06-17,,atrasado
1037,1071,2021-12-13,2024-03-04,2024-05-09,atrasado
890,826,2023-10-08,2024-03-06,,concluido
142,45,2022-12-05,2024-08-03,,atrasado
441,227,2020-08-19,2024-04-18,2024-04-01,pendente
313,1779,2021-06-20,2024-06-06,,atrasado
1594,3,2020-01-18,2024-05-30,,pendente
50,614,2020-07-20,2023-11-27,2024-01-17,pendente
1725,886,2022-02-20,2024-01-23,2024-02-12,concluido
1619,1365,2020-09-07,2024-10-19,2024-09-12,atrasado
1069,1854,2021-02-13,2023-11-30,2024-02-16,atrasado
476,1717,2022-03-01,2024-07-27,2024-03-05,concluido
626,1716,2022-04-13,2024-05-07,2024-05-18,concluido
124,395,2023-05-17,2024-05-02,2024-09-02,concluido
755,1815,2021-05-20,2024-09-13,,pendente
182,548,2022-06-30,2024-05-11,,concluido
1528,1909,2020-10-09,2023-12-17,2024-10-05,atrasado
1028,840,2021-12-31,2023-11-12,2024-04-08,atrasado
343,1228,2022-02-08,2024-01-26,,atrasado
310,357,2022-09-16,2024-01-27,2024-01-17,concluido
1682,1038,2021-05-10,2024-03-10,,concluido
327,1332,2021-12-16,2023-11-14,2024-07-21,atrasado
794,334,2021-09-08,2024-08-19,2024-06-28,pendente
1368,1519,2022-12-21,2024-02-20,2024-06-16,atrasado
1567,1818,2020-06-26,2024-06-09,2024-08-12,atrasado
1607,1080,2020-12-20,2024-03-16,,pendente
449,1682,2020-12-05,2024-03-21,2023-12-11,concluido
1036,944,2021-05-20,2024-01-12,2024-07-08,concluido
1878,1157,2023-03-02,2024-10-20,,atrasado
1627,1754,2020-08-14,2024-06-15,2024-01-25,atrasado
1547,545,2021-12-06,2024-08-22,2024-05-13,concluido
99,47,2021-07-13,2024-08-20,2024-03-02,atrasado
32,617,2022-05-31,2024-01-16,2023-12-10,atrasado
247,179,2022-05-26,2024-03-01,,pendente
72,1655,2023-06-17,2024-08-09,2024-01-08,atrasado
1947,1991,2022-12-02,2024-02-28,,atrasado
1659,1562,2022-08-17,2024-03-20,,atrasado
971,834,2022-07-24,2024-04-22,2024-08-15,pendente
1968,1222,2020-04-15,2024-07-10,,concluido
1082,1004,2021-12-17,2023-12-19,2024-03-07,concluido
1788,1247,2021-10-18,2023-12-31,2024-06-07,concluido
1806,309,2023-03-24,2024-10-13,,pendente
287,1324,2020-09-08,2024-10-07,2023-12-12,pendente
1640,1717,2023-01-28,2023-11-21,,concluido
198,1819,2021-03-30,2024-09-07,,concluido
266,317,2021-10-19,2024-05-20,2024-09-09,concluido
1811,940,2020-08-28,2024-10-09,2024-07-31,concluido
855,30,2021-04-27,2024-02-16,,concluido
896,1195,2020-02-29,2023-12-31,2024-01-22,concluido
718,770,2023-10-17,2024-01-31,,concluido
1233,670,2020-11-08,2024-08-20,2024-09-13,atrasado
883,1104,2021-07-22,2024-10-21,2024-08-02,pendente
88,507,2020-08-10,2024-01-24,2024-07-04,atrasado
1804,1812,2023-04-05,2024-03-31,2024-04-19,atrasado
757,1656,2021-11-05,2024-07-11,2024-01-26,pendente
1511,1796,2021-08-03,2024-09-25,2023-11-06,atrasado
1758,1889,2022-12-09,2024-07-31,,atrasado
1157,1899,2022-11-25,2024-10-03,,concluido
1606,580,2023-08-01,2023-12-23,,pendente
1106,89,2021-04-03,2024-05-22,,pendente
653,440,2022-03-03,2024-03-18,2023-11-14,pendente
391,1486,2023-06-30,2024-05-21,,pendente
695,399,2022-06-21,2023-11-17,2024-01-30,atrasado
974,868,2022-11-23,2024-06-11,2024-01-19,pendente
110,1954,2022-12-06,2024-05-12,2024-02-19,pendente
401,1116,2020-08-03,2024-10-14,2024-09-29,pendente
830,1943,2023-06-15,2023-12-20,,concluido
181,1274,2023-06-13,2024-08-28,,concluido
1720,1016,2020-07-19,2023-12-17,2024-06-02,concluido
815,651,2021-06-26,2024-09-28,,concluido
134,1781,2022-12-18,2024-04-06,2024-06-17,pendente
267,1636,2021-06-05,2023-12-07,,concluido
1668,1649,2022-04-03,2024-01-13,,pendente
1355,1770,2020-05-15,2024-10-22,,pendente
744,1576,2022-02-13,2024-01-02,2024-02-28,atrasado
16,1408,2021-08-27,2024-10-30,2023-11-23,atrasado
93,1726,2020-06-06,2024-08-31,2024-09-10,atrasado
1014,1827,2023-02-27,2024-06-14,,atrasado
644,1847,2022-08-09,2024-09-16,,pendente
124,798,2020-12-11,2024-10-20,,pendente
414,1697,2023-01-09,2024-10-10,2024-07-05,atrasado
1284,738,2021-10-23,2024-03-28,2024-02-17,concluido
1092,1110,2020-06-14,2024-05-12,,concluido
788,310,2020-07-07,2024-05-13,,concluido
1975,1709,2023-02-14,2024-06-21,,concluido
1629,334,2023-09-08,2023-12-28,2024-02-21,pendente
670,619,2022-11-08,2024-02-11,,concluido
1702,1907,2023-01-08,2024-01-08,2024-10-23,concluido
1659,1477,2023-08-05,2024-09-03,2023-12-04,pendente
1849,695,2021-05-30,2024-10-28,2024-01-13,pendente
320,297,2021-01-23,2024-02-18,,pendente
1278,1143,2020-08-05,2024-07-02,2023-12-18,concluido
1613,974,2020-06-26,2024-05-17,,atrasado
1847,1014,2021-04-08,2023-11-18,,atrasado
110,1938,2023-01-15,2024-06-28,2024-01-27,atrasado
1201,1443,2022-11-21,2024-03-25,2024-06-25,pendente
190,5,2020-12-19,2024-04-14,,pendente
1071,206,2020-06-19,2024-05-18,,pendente
1344,474,2020-10-12,2023-12-20,2024-10-25,atrasado
1210,1970,2020-11-26,2024-05-12,2024-09-04,pendente
1009,1286,2021-12-01,2024-08-20,,concluido
1242,1543,2020-10-27,2024-05-27,2023-11-03,concluido
155,1604,2020-12-06,2024-03-15,2024-05-27,concluido
926,351,2023-06-25,2024-08-11,,pendente
5,836,2021-10-31,2024-06-06,2023-12-25,atrasado
1127,1275,2022-06-25,2024-06-25,2024-08-05,pendente
1626,1693,2023-01-25,2024-01-20,2024-01-10,concluido
631,140,2023-08-31,2024-10-14,,pendente
1579,1105,2023-06-17,2024-04-22,,concluido
675,184,2021-07-02,2024-07-09,,atrasado
1770,1690,2020-08-12,2024-04-24,2024-04-17,pendente
712,842,2020-11-29,2024-10-31,2024-04-16,atrasado
470,1830,2022-08-23,2024-10-08,,atrasado
1162,906,2021-11-02,2024-07-07,,pendente
1389,1836,2022-04-28,2024-04-17,2024-06-02,concluido
1014,1794,2020-05-27,2024-09-16,,concluido
836,1390,2021-03-18,2024-09-22,2024-01-10,pendente
1957,573,2022-06-08,2024-06-17,,pendente
443,1393,2023-07-13,2024-04-18,2024-05-02,pendente
1517,1565,2020-10-28,2024-05-31,,pendente
1708,651,2021-12-28,2024-05-23,,atrasado
240,883,2023-02-24,2024-02-04,,pendente
264,554,2021-08-30,2024-03-23,2024-02-29,concluido
1649,19,2020-06-24,2024-07-23,,pendente
34,1113,2021-07-25,2024-01-04,2024-05-31,atrasado
1135,1658,2022-10-19,2024-09-30,2024-03-18,pendente
1971,955,2023-06-19,2024-10-15,,pendente
1978,696,2023-08-14,2023-11-25,2024-09-07,pendente
143,824,2022-10-04,2024-02-03,2024-10-04,pendente
1407,203,2022-08-23,2024-06-28,2024-05-24,pendente
1992,1879,2023-10-10,2024-09-02,2023-11-13,atrasado
1140,1577,2021-04-22,2024-02-16,2024-10-24,pendente
925,1596,2023-09-07,2024-07-29,2024-10-08,concluido
1300,1791,2020-08-31,2024-07-15,,concluido
1509,1242,2021-03-14,2024-08-03,,atrasado
1751,1392,2022-03-14,2023-12-01,2024-04-27,atrasado
253,1720,2022-02-19,2024-02-24,2024-09-30,concluido
1918,1832,2020-11-16,2024-10-15,,concluido
865,1875,2022-11-20,2024-07-22,,pendente
1039,1911,2021-01-08,2023-12-07,,pendente
435,555,2022-10-26,2024-06-02,,pendente
208,1001,2020-01-05,2023-12-20,2024-03-03,atrasado
1040,1878,2020-01-03,2024-07-22,,pendente
640,1849,2022-10-27,2023-12-14,,pendente
479,953,2022-04-30,2023-11-28,2024-08-03,pendente
707,1731,2022-12-26,2024-01-04,2023-12-21,pendente
976,165,2022-01-22,2023-11-28,2024-04-07,pendente
1547,1392,2021-04-23,2024-10-01,2024-05-10,pendente
1795,1549,2022-12-22,2024-07-14,2024-10-22,pendente
545,1618,2020-05-28,2024-04-05,2024-02-22,concluido
1775,1974,2023-07-10,2024-08-29,2024-07-11,concluido
279,1564,2021-05-28,2024-02-20,2024-01-18,atrasado
558,1115,2021-11-10,2023-12-01,,concluido
1896,1694,2021-05-28,2024-09-27,,pendente
1164,1583,2020-08-17,2024-02-24,,pendente
1652,522,2021-05-17,2024-07-16,,pendente
1547,1434,2023-09-19,2024-08-25,,concluido
578,1394,2020-01-28,2024-01-11,,atrasado
721,971,2020-04-20,2024-10-10,2024-01-30,atrasado
1476,1669,2022-02-27,2024-08-03,,pendente
1064,1432,2021-02-26,2024-03-20,2024-09-16,atrasado
830,1521,2020-03-14,2024-03-02,,pendente
1631,377,2023-07-22,2023-12-23,2024-08-04,atrasado
389,92,2022-04-04,2024-06-16,,pendente
353,1756,2020-03-13,2024-03-28,,concluido
51,1405,2022-02-27,2024-02-27,,pendente
578,1092,2021-01-16,2024-01-30,,concluido
1306,115,2021-10-11,2024-05-14,2024-07-26,atrasado
1206,1988,2022-06-17,2024-06-09,2024-08-09,pendente
773,540,2022-07-28,2024-03-15,2023-12-19,pendente
1471,1462,2020-04-27,2024-05-06,2023-12-11,pendente
1232,1220,2022-01-09,2024-01-14,2024-03-30,concluido
1076,1231,2022-10-05,2023-12-20,2023-11-03,concluido
75,1647,2021-07-06,2024-04-06,2023-12-05,pendente
454,757,2023-06-03,2024-10-21,2024-07-21,pendente
477,271,2022-05-27,2023-12-27,2024-06-22,atrasado
497,1080,2021-06-28,2024-09-15,,concluido
383,331,2023-01-14,2024-09-06,,concluido
1461,449,2022-03-18,2023-12-19,2024-02-21,pendente
1064,252,2021-12-16,2024-10-14,,pendente
1998,1397,2023-06-13,2024-09-15,,concluido
1146,426,2023-02-25,2024-02-13,,concluido
463,177,2022-07-02,2024-08-11,,atrasado
953,710,2020-01-28,2024-01-11,,concluido
283,788,2020-09-08,2024-07-09,2024-09-17,atrasado
1441,835,2023-02-16,2024-10-19,2024-09-30,atrasado
1375,1934,2020-07-28,2023-12-01,,concluido
997,1735,2020-01-30,2023-12-02,,pendente
35,1273,2022-04-15,2024-08-28,2023-12-25,atrasado
308,973,2023-05-05,2024-06-01,,concluido
1878,1183,2023-09-29,2023-11-18,2024-02-16,pendente
178,287,2021-01-28,2024-06-06,2024-07-26,concluido
32,404,2022-06-02,2024-06-28,2024-02-18,pendente
1018,639,2023-03-28,2023-12-27,,pendente
559,926,2023-03-14,2024-06-22,2024-03-21,concluido
1791,67,2020-11-14,2024-01-23,2024-04-15,concluido
446,268,2020-09-17,2024-08-05,2023-12-19,concluido
467,1293,2021-09-24,2024-04-24,,concluido
1407,79,2020-12-19,2024-07-08,,atrasado
38,1667,2023-08-11,2024-08-18,2024-05-10,pendente
679,1835,2023-03-30,2024-07-21,2024-03-20,concluido
7,1275,2023-05-02,2024-10-17,2024-03-30,concluido
1513,715,2023-04-02,2023-11-16,2024-01-05,concluido
1669,1004,2021-03-23,2023-12-21,2024-01-01,pendente
646,51,2022-07-02,2023-11-19,,atrasado
318,734,2020-04-24,2023-11-03,2024-03-13,atrasado
974,1725,2023-08-03,2024-02-05,2024-06-16,concluido
461,1819,2020-03-25,2024-10-07,,pendente
424,260,2023-08-22,2024-08-23,2024-05-18,concluido
1642,419,2020-01-12,2024-09-27,2024-05-16,atrasado
1181,477,2022-06-29,2024-04-26,2024-05-08,concluido
1596,255,2023-09-25,2024-09-21,2024-08-23,atrasado
304,1024,2023-10-23,2024-04-26,2024-03-15,concluido
591,1239,2022-05-06,2024-06-24,2023-12-27,concluido
1960,1501,2020-10-30,2024-01-13,,concluido
1195,1197,2020-11-05,2024-06-20,,concluido
237,804,2021-12-04,2024-01-08,2024-08-17,pendente
1625,1389,2021-09-30,2024-08-27,2024-07-13,concluido
1698,1626,2023-06-05,2024-02-17,,pendente
465,468,2023-08-25,2024-08-21,2024-05-29,concluido
135,944,2023-04-23,2024-03-21,,concluido
1234,478,2020-08-31,2024-10-30,,concluido
1702,1607,2022-12-24,2023-12-09,2024-07-10,concluido
1034,841,2021-02-18,2023-11-23,,concluido
1224,1712,2020-02-27,2024-02-22,,atrasado
64,1157,2021-04-27,2024-08-09,2024-03-29,pendente
1315,838,2021-11-04,2024-10-27,2024-05-12,atrasado
90,1044,2021-06-09,2024-03-18,2023-12-30,concluido
1555,720,2021-07-01,2024-09-09,2024-04-23,pendente
191,1744,2020-12-04,2024-04-28,2024-06-03,atrasado
20,60,2023-01-18,2024-02-13,,concluido
1523,843,2022-05-01,2024-06-28,2024-08-17,concluido
1120,129,2023-01-03,2023-11-15,,atrasado
1272,194,2022-05-23,2024-10-31,,pendente
1841,1397,2022-09-24,2024-01-26,,pendente
1766,48,2023-02-02,2024-10-04,2024-01-05,pendente
34,1397,2020-10-30,2024-03-09,2023-11-24,pendente
616,1765,2022-06-26,2024-02-24,2024-05-19,atrasado
77,985,2020-05-21,2023-11-25,2023-12-18,concluido
538,497,2021-07-25,2024-02-25,,concluido
663,1410,2023-05-02,2024-04-02,2024-02-14,concluido
320,152,2022-01-06,2024-05-11,2024-08-28,concluido
1619,1793,2023-01-22,2023-12-27,2024-01-16,atrasado
556,1642,2022-01-26,2024-06-20,,pendente
1791,1920,2023-07-01,2024-03-20,2024-01-29,pendente
1515,1992,2020-11-10,2024-02-10,,pendente
394,949,2021-03-13,2024-09-30,2024-07-23,pendente
972,343,2021-04-01,2023-12-12,2024-07-08,pendente
1060,859,2023-05-11,2024-07-15,,pendente
971,395,2023-09-20,2024-10-04,2024-08-17,concluido
813,1633,2021-03-23,2024-04-24,,pendente
435,953,2020-06-08,2024-04-01,,concluido
1429,1462,2022-10-07,2024-06-17,2024-03-08,pendente
1042,1969,2020-07-12,2024-10-22,2024-10-25,atrasado
1138,59,2021-10-29,2024-03-16,2023-11-14,atrasado
1416,524,2020-01-16,2024-09-20,,concluido
979,491,2022-01-13,2024-02-27,2024-10-03,concluido
869,236,2022-11-28,2024-04-19,,pendente
936,369,2022-11-10,2023-12-31,,concluido
859,863,2020-04-17,2024-05-11,,atrasado
255,1829,2021-04-24,2024-03-21,2024-04-01,concluido
1654,50,2022-12-08,2024-04-14,2024-05-29,concluido
1040,830,2021-10-28,2024-04-26,,concluido
1925,1515,2020-03-01,2024-05-06,2024-07-06,concluido
1548,4,2022-08-01,2024-05-05,2024-03-25,concluido
1151,1124,2020-07-22,2024-08-09,,concluido
1621,1227,2021-10-24,2024-06-14,,concluido
1588,511,2020-11-07,2024-07-26,2024-04-30,atrasado
150,1804,2021-05-26,2024-05-31,,concluido
1385,1512,2022-12-03,2024-08-25,2024-02-07,pendente
224,85,2023-09-29,2024-05-13,2024-04-09,concluido
39,625,2021-05-24,2024-09-08,2024-01-03,concluido
343,1038,2022-02-21,2024-07-06,2024-09-26,atrasado
673,1308,2023-03-27,2023-12-28,2024-05-08,pendente
1950,444,2022-09-28,2024-01-08,2023-11-12,concluido
1123,984,2023-08-21,2024-05-07,,atrasado
1337,578,2023-09-21,2024-09-01,2024-09-30,pendente
460,212,2020-06-15,2023-12-05,2024-10-17,atrasado
1692,959,2022-07-08,2024-09-07,,atrasado
984,1379,2022-01-23,2023-11-18,,concluido
89,593,2023-08-07,2024-03-13,,concluido
1227,666,2022-05-17,2024-03-20,2024-03-13,pendente
742,1408,2021-03-08,2024-05-06,,pendente
306,1099,2023-04-16,2024-06-02,2024-04-06,concluido
299,1969,2021-11-29,2024-10-05,,atrasado
1811,94,2021-02-06,2024-08-27,2024-04-07,pendente
962,818,2023-08-14,2024-09-11,2024-04-02,atrasado
304,678,2023-10-29,2024-03-11,,concluido
426,1131,2021-11-23,2024-03-08,2024-08-04,pendente
1502,1923,2022-01-25,2024-02-19,,concluido
323,548,2020-08-07,2023-12-08,2024-05-07,concluido
1325,1042,2021-05-20,2024-08-16,2024-09-23,concluido
160,1875,2022-04-28,2024-03-01,,concluido
626,1885,2023-06-02,2024-01-03,2023-11-06,pendente
257,521,2021-04-20,2024-10-28,2024-10-05,concluido
1345,1763,2022-01-22,2024-03-02,2024-01-31,concluido
615,1703,2020-05-09,2024-01-31,2023-11-12,concluido
1872,1003,2023-10-05,2024-04-27,2024-02-02,atrasado
1791,1846,2021-01-14,2024-10-11,,atrasado
975,1644,2023-03-12,2023-12-28,2024-10-22,pendente
936,273,2022-01-06,2024-09-11,2024-06-19,atrasado
458,27,2023-04-30,2024-10-15,,pendente
1098,781,2021-04-01,2024-04-09,2023-11-27,pendente
1480,1502,2022-03-24,2024-07-06,2024-09-25,atrasado
1598,503,2020-09-15,2023-12-27,2023-12-07,concluido
1363,1229,2023-04-13,2024-08-16,2024-03-13,atrasado
1160,829,2022-12-26,2024-10-19,2024-07-10,atrasado
421,420,2021-09-23,2024-09-19,2024-05-30,pendente
1278,1030,2023-04-27,2023-12-03,2024-09-15,pendente
113,867,2022-01-29,2024-07-05,2024-09-09,concluido
1796,1713,2021-12-18,2024-01-09,2023-11-06,concluido
554,1050,2022-01-08,2024-08-04,2023-12-15,pendente
1523,684,2021-12-26,2024-06-12,2024-03-19,atrasado
1918,1353,2021-09-25,2024-02-08,,atrasado
85,222,2020-10-17,2024-01-16,2024-07-29,atrasado
617,70,2021-04-15,2024-01-22,,atrasado
1159,976,2023-10-08,2024-10-25,,pendente
1710,779,2021-03-12,2024-01-02,,atrasado
638,1816,2023-01-25,2024-08-19,,pendente
965,508,2023-03-17,2024-04-08,2023-12-26,atrasado
272,547,2022-04-02,2024-03-12,,pendente
23,140,2021-12-25,2024-03-14,2024-10-30,atrasado
1031,682,2021-02-03,2024-05-18,,concluido
454,1758,2020-12-19,2023-12-25,2024-05-25,concluido
893,443,2020-06-10,2024-07-01,,concluido
712,618,2023-02-16,2024-10-16,,concluido
414,1263,2021-03-26,2024-07-28,2024-07-04,pendente
1834,495,2022-10-04,2024-07-23,2024-09-07,atrasado
1917,1734,2023-04-17,2024-02-18,2024-01-15,pendente
386,281,2023-02-21,2024-03-25,,atrasado
261,1325,2020-12-28,2023-11-30,,pendente
1986,1859,2020-12-19,2024-06-09,2024-10-15,pendente
1034,460,2022-01-18,2024-05-08,2024-05-14,pendente
1456,428,2021-04-04,2023-11-07,2024-02-21,concluido
317,1187,2021-02-20,2024-03-29,,concluido
287,625,2022-07-14,2024-06-22,2024-08-07,atrasado
1557,1872,2023-07-28,2024-06-24,,atrasado
58,1012,2021-05-16,2023-12-01,,pendente
202,673,2021-11-06,2024-05-02,2023-11-02,atrasado
250,992,2022-08-05,2024-01-15,2024-01-02,atrasado
475,1079,2022-12-03,2024-01-18,,atrasado
1549,867,2021-06-27,2024-08-06,2024-02-21,pendente
471,36,2020-09-22,2024-09-30,,atrasado
820,373,2021-07-30,2024-10-04,,concluido
558,162,2020-01-12,2024-07-27,2024-01-17,concluido
1584,770,2021-08-07,2024-01-16,2024-04-16,concluido
1760,500,2022-12-31,2024-07-23,2024-04-06,atrasado
1085,423,2021-10-01,2024-02-14,2024-02-22,atrasado
207,1327,2023-05-10,2024-06-09,,pendente
1930,1283,2021-05-11,2024-05-22,2024-03-30,concluido
794,845,2022-11-23,2024-04-11,2024-08-02,pendente
1885,949,2021-07-21,2024-09-08,,pendente
44,840,2023-02-14,2024-05-10,2023-12-18,pendente
903,1321,2022-06-26,2024-06-07,,concluido
952,653,2020-04-11,2023-11-21,2024-08-24,pendente
1972,1056,2020-10-26,2024-10-02,2024-09-08,concluido
851,588,2021-04-11,2024-01-01,2024-04-15,atrasado
1748,1098,2022-05-06,2024-04-27,,concluido
1430,606,2021-08-17,2024-05-17,,atrasado
585,942,2023-09-27,2024-10-15,2024-01-26,atrasado
1556,1148,2020-04-16,2023-12-07,2024-09-18,concluido
1737,1470,2021-04-06,2024-01-19,2024-02-24,pendente
1744,838,2020-11-22,2024-07-25,2024-03-18,pendente
1889,464,2022-01-19,2024-01-21,2024-09-09,pendente
116,1864,2022-06-18,2024-04-25,,concluido
182,1237,2022-08-11,2024-05-23,,atrasado
1066,589,2020-11-03,2023-11-16,2024-09-08,concluido
1976,879,2021-04-13,2024-03-22,,concluido
871,942,2022-03-25,2024-03-13,2024-04-21,atrasado
1402,1818,2020-02-24,2023-11-04,2024-03-03,atrasado
1532,1289,2021-09-21,2024-09-29,2024-08-17,concluido
1731,1705,2023-03-01,2023-12-07,2024-01-19,concluido
1606,800,2023-02-23,2023-12-28,,atrasado
60,1515,2022-09-04,2024-02-19,,pendente
4,1662,2023-07-04,2024-04-12,2023-11-15,pendente
692,452,2021-08-08,2023-11-30,,atrasado
1772,517,2022-11-12,2024-03-13,2023-12-15,concluido
602,1445,2020-10-19,2024-08-12,,pendente
1425,727,2023-07-26,2024-01-04,2024-01-27,atrasado
1800,1869,2023-01-30,2024-03-09,2024-02-18,concluido
1989,1219,2023-04-15,2024-05-01,2024-03-28,atrasado
1504,608,2023-03-02,2024-02-05,2024-03-12,atrasado
1269,684,2023-07-20,2024-03-17,2024-05-29,atrasado
777,1846,2020-12-27,2024-03-24,,atrasado
646,1070,2023-09-22,2023-11-24,2024-03-29,pendente
1011,1030,2020-08-31,2024-09-01,,atrasado
1340,391,2023-09-16,2024-03-02,,concluido
96,283,2022-04-21,2024-04-10,2024-03-30,atrasado
1301,1680,2020-03-04,2024-02-08,,pendente
364,568,2021-05-30,2024-03-20,,pendente
724,499,2021-12-31,2024-03-27,,concluido
1224,1114,2020-03-18,2024-06-06,,atrasado
1819,1715,2020-08-12,2024-09-24,2024-07-20,concluido
1575,95,2023-08-02,2023-12-11,2024-08-28,atrasado
1239,248,2022-06-10,2024-06-10,2024-01-21,concluido
1678,132,2022-05-16,2024-06-28,,concluido
373,1620,2021-03-07,2023-12-07,2023-11-16,pendente
748,988,2022-09-12,2024-07-18,,pendente
648,1916,2022-02-11,2024-05-14,,pendente
1827,732,2022-03-10,2024-06-10,,atrasado
1037,1338,2020-03-17,2024-10-22,,pendente
88,896,2020-02-13,2023-11-28,2024-07-26,atrasado
725,784,2021-04-29,2024-04-19,2024-09-04,pendente
1157,799,2020-04-06,2023-12-23,,concluido
1661,1379,2022-06-30,2024-09-14,,concluido
1887,1539,2022-03-08,2024-07-28,2024-04-10,pendente
941,553,2022-05-20,2024-10-27,2024-06-16,pendente
1696,706,2022-09-29,2024-04-17,2024-10-01,atrasado
837,72,2023-07-04,2024-07-29,,atrasado
1217,1894,2020-12-05,2024-08-21,,atrasado
1314,768,2022-11-18,2024-06-27,,atrasado
1346,1743,2023-10-28,2024-07-01,,concluido
1442,1221,2021-07-16,2024-06-05,,concluido
6,1101,2021-06-11,2024-06-18,,atrasado
1350,536,2021-03-23,2024-02-18,,pendente
1646,209,2021-08-06,2023-11-17,2024-10-27,atrasado
1267,1858,2021-11-22,2024-02-28,,pendente
695,1199,2020-12-12,2024-07-07,2024-03-08,concluido
1719,369,2021-09-24,2024-07-07,2023-12-30,pendente
1907,1217,2023-08-10,2024-05-07,2024-01-18,pendente
1906,1766,2020-06-23,2024-08-31,,concluido
714,1920,2020-06-01,2024-09-24,,atrasado
428,1625,2021-07-05,2024-01-26,2024-04-05,atrasado
1482,1261,2020-01-29,2024-06-06,,atrasado
1731,844,2020-04-29,2024-03-22,2023-11-21,pendente
202,271,2020-02-26,2024-06-17,,pendente
1521,1835,2023-05-29,2024-06-21,2023-11-19,atrasado
1499,4,2023-02-14,2024-04-06,,concluido
1749,1636,2021-01-19,2024-04-23,2024-07-17,atrasado
824,1022,2020-05-24,2024-10-01,2024-04-10,pendente
1217,351,2020-06-19,2024-04-15,,pendente
714,1568,2021-06-15,2024-08-26,,atrasado
343,1600,2022-05-08,2024-04-01,2024-09-22,atrasado
38,579,2020-01-01,2024-03-16,,atrasado
673,1870,2021-07-11,2023-12-30,2024-06-18,concluido
595,1155,2020-07-07,2024-10-09,2024-04-17,atrasado
1883,530,2020-07-22,2024-06-01,2023-11-06,concluido
1149,544,2020-11-16,2024-10-20,,pendente
256,1945,2023-04-05,2024-02-22,,pendente
431,275,2021-10-16,2024-03-23,,pendente
403,411,2020-10-22,2024-02-27,,atrasado
1073,982,2021-01-20,2024-05-23,2024-06-07,concluido
1556,1731,2022-03-26,2024-03-23,,concluido
1296,63,2021-12-19,2023-12-11,,atrasado
1408,1818,2020-09-30,2023-11-25,2024-07-20,atrasado
213,1144,2022-01-13,2024-07-12,2024-08-17,pendente
1601,366,2023-08-02,2023-12-09,2024-03-04,concluido
578,1001,2021-12-23,2023-11-11,2024-07-08,atrasado
